domain,layer,layer_ordinal,layer_name,expert_id,routing_frequency,routing_rank,gate_mass,gate_rank,functional_contribution,functional_rank,normalized_routing,normalized_gate,normalized_contribution
general,1,1,model.layers.1.mlp,34,0.00859836320314928,59.0,0.002868317228937895,55.0,0.0021633196713403448,56.0,0.00859836320314928,0.00899270407069735,0.005712477063546525
general,1,1,model.layers.1.mlp,35,0.021612452087433957,13.0,0.00615052021958847,18.0,0.006656637623686933,10.0,0.021612452087433957,0.019283016417288048,0.017577563893778334
general,1,1,model.layers.1.mlp,36,0.009854449393970786,51.0,0.003105806141063659,49.0,0.0022422216690233133,54.0,0.009854449393970786,0.009737275656180471,0.005920826230802375
general,1,1,model.layers.1.mlp,37,0.025277115922511136,6.0,0.0083901620610173,8.0,0.008823865329570614,6.0,0.025277115922511136,0.026304707080066977,0.023300360540689312
general,1,1,model.layers.1.mlp,38,0.009323526364860665,53.0,0.002635393465761939,59.0,0.002546997486712004,48.0,0.009323526364860665,0.008262445070004398,0.006725619387881922
general,1,1,model.layers.1.mlp,39,0.016251424427639077,25.0,0.005194987754778307,25.0,0.0037039730118603627,27.0,0.016251424427639077,0.01628724572662297,0.009780737056367683
general,1,1,model.layers.1.mlp,40,0.022544804723920026,8.0,0.007492762531725888,12.0,0.0070359915260279175,8.0,0.022544804723920026,0.023491193874943216,0.0185792884631052
general,1,1,model.layers.1.mlp,41,0.01820677509582513,19.0,0.005470540651222418,22.0,0.0046299647122674025,21.0,0.01820677509582513,0.017151154930439647,0.012225917220763948
general,1,1,model.layers.1.mlp,42,0.024810939604268105,7.0,0.00796669075109422,9.0,0.006607224451590051,11.0,0.024810939604268105,0.0249770463408192,0.01744708312573464
general,1,1,model.layers.1.mlp,43,0.00919403294312649,56.0,0.0029053379312940276,53.0,0.0030156708143301843,39.0,0.00919403294312649,0.009108770807465286,0.00796320145667349
general,1,1,model.layers.1.mlp,44,0.01057961255568217,50.0,0.0033764650966668394,45.0,0.002512787745870541,49.0,0.01057961255568217,0.010585841451925693,0.006635284906808374
general,1,1,model.layers.1.mlp,45,0.02207862840567699,10.0,0.00628046889163343,17.0,0.006418460979671796,12.0,0.02207862840567699,0.019690429495691913,0.016948632980777402
general,1,1,model.layers.1.mlp,46,0.009271728996166994,54.0,0.0031788991076284576,47.0,0.002591676767218901,46.0,0.009271728996166994,0.009966435601020325,0.006843599808664245
general,1,1,model.layers.1.mlp,47,0.029226665285403502,3.0,0.00839393684484422,7.0,0.0067859151792624426,9.0,0.029226665285403502,0.026316541724277134,0.017918935111744888
general,1,1,model.layers.1.mlp,48,0.016160779032425153,26.0,0.00641628523435072,16.0,0.0051487811964468725,17.0,0.016160779032425153,0.020116238804961814,0.013595907659684523
